Rank,Artist,id,album_id
54,Young Thug,50co4Is1HCEo8bhOyUWKpn,0BsMZIueWsJLWng8A7sE8e
53,Jlin,23QKqAkKwti9zBiac6RFBA,6m5Jy89Af4LWormzjaMPKd
52,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,4hnqM0JK4CM1phwfq1Ldyz
51,DJ Koze,1kR99O4MgSTasyeJh8UFCg,0sT4nyNxsvGNQr1O8OR83O
50,Grimes,053q0ukIDRgzwTr4vNSwab,48a7rOjTzpD1zzJAteeveE
49,Oneohtrix Point Never,2wPDbhaGXCqROrVmwDdCrK,1DtXzewBvv5vZBnl3ZmJqo
48,ANOHNI,6VJZYivuYJGCrPuOAnI7Qo,3dAx4u7AJy72a6M1ms6uYF
47,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,6UjZgFbK6CQptu8aOobzPV
46,The Knife,7eQZTqEMozBcuSubfu52i4,6GWQ6fq8krujlglglMPyPu
45,Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,5p64XgvFREt1P6mC7Xl6XN
44,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,3WvQpufOsPzkZvcSuynCf3
43,Sky Ferreira,7pyhre5oEEFMqcgMEvJY7q,1bvCVYPVl445mO690M2dOr
42,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,1MOub955Uer957RVqqkF2a
41,Beyoncé,6vWDO969PvNqNYHIOW5v0m,7dK54iZuOxXFarGhXwEXfF
40,Charli XCX,25uiPmTg16RbhZWAqwLBy5,2HIwUmdxEl7SeWa1ndH5wC
39,Bill Callahan,7gqsi6aBSkRMJoL9psKqMr,13VVtuvboNAaPFcKsQsjLP
38,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,3ogNAkUhvQy0cFOfLoR6Y8
37,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,2w1YJXWMIco6EBf0CovvVN
36,Rosalía,7ltDVBr6mKbRvohxheJ9h1,355bjCHzRJztCzaG5Za4gq
35,Blood Orange,6LEeAFiJF8OuPx747e1wxR,1bsLkHcWAGUao6Z1dHOEIB
34,Vince Staples,68kEuyFKyqrdQQLLsmiatm,4Csoz10NhNJOrCTUoPBdUD
33,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,5X0bIKvPtSDo4NpXqgrB6p
32,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,1JlvIsP2f6ckoa62aN7kLn
31,Beyoncé,6vWDO969PvNqNYHIOW5v0m,1gIC63gC3B7o7FfpPACZQJ
30,Mitski,2uYWxilOVlUdk4oV9DvwqK,16i5KnBjWgUtwOO7sVMnJB
29,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,1HUMjB15ARg96KIypcGzYY
28,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,5VqGGKeWpIBRFh4M4XmqDK
27,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,66at85wgO2pu5CccvqUF6i
26,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,358elHWlgNqitp1lenb5Jn
25,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,01uabHpYa9AA55wc6AwRQL
24,SZA,7tYKF4w9nC0nq9CsPZTHyP,76290XdXVF9rPzGdNRWdCh
23,Kacey Musgraves,70kkdajctXSbqSMJbQO424,7f6xPqyaolTiziKf5R5Z0c
22,Destroyer,22ojy4H4ZVpowC4lRRC8In,4WtvNVR7QeHUZGtHth9zND
21,Beach House,56ZTgzPBDge0OvCGgMO3OY,4sYpTER2iT2Y7Kf4VsfUne
20,DJ Rashad,4zGBj9dI63YIWmZkPl3o7V,21dsgJBSUM6IvAGFjfotgF
19,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A
18,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,6PBZN8cbwkqm1ERj2BGXJ1
17,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,0U8DeqqKDgIhIiWOdqiQXE
16,Joanna Newsom,4gn6f5jaOO75s0oF7ozqGG,4ZFCqS8Ye5qgp4w7Sq09T4
15,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,7D2NdGvBHIavgLhmcwhluK
14,Lorde,163tK9Wjr9P9DmM0AVK7lm,2B87zXm9bOWvAJdkJBTpzF
13,Drake,3TVXtAsR1Inumwj472S9r4,6X1x82kppWZmDzlXXK3y3q
12,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,48i37aZTC1prDr4EcpQeEa
11,Grimes,053q0ukIDRgzwTr4vNSwab,5hB4jVN4ZHpubyiMmW81K1
10,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,392p3shh2jkxUxY2VHvlH8
9,D’Angelo & the Vanguard,336vr2M3Va0FjyvB55lJEd,5Hfbag0SsHxafx1SySFSX6
8,Robyn,6UE7nl9mha6s8z0wFQFIZ2,0Rzg7fqyWE39G6wKipxrns
7,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,2Qi2SySN2ePZwMLDSv9Krn
6,Solange,2auiVi8sUZo17dLy1HwrTU,3Yko2SxDk4hc6fncIBQlcM
5,Fiona Apple,3g2kUQ6tHLLbmkV7T4GPtL,6B5favhKTShFTjRLsKIUfa
4,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,7ycBtnsMtyVbbwTfJwRjSP
3,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2UJwKSBUz6rtW4QLK74kQu
2,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv
1,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,3mH6qwIy9crq0I9YQbOuDf
